,uid,name,value
327,bc2c2f2d-0e86-4aad-8053-fb3e6da3b191,Mass Loss,
328,bc327b5a-35ce-4bf2-8af2-5545497f0491,Weighed Mass,
329,bc327b5a-35ce-4bf2-8af2-5545497f0491,Mass Loss,
330,bdccbc59-1153-4a60-8a5b-885e1a3b2f54,Weighed Mass,
331,bdccbc59-1153-4a60-8a5b-885e1a3b2f54,Mass Loss,
332,bf5ed06a-d0b6-486e-af76-6da7b8092aa0,"Elastic Modulus, GPa",
333,bf5ed06a-d0b6-486e-af76-6da7b8092aa0,"Yield Strength, MPa",
334,bf5ed06a-d0b6-486e-af76-6da7b8092aa0,"UTS, MPa",
335,bf5ed06a-d0b6-486e-af76-6da7b8092aa0,"Elongation, %",
336,bf5ed06a-d0b6-486e-af76-6da7b8092aa0,"Strain Hardening, MPa",
337,bf5ed06a-d0b6-486e-af76-6da7b8092aa0,dUTS_dY,
338,c2da2ba1-37fc-4eee-a724-472609801fee,Weighed Mass,
339,c2da2ba1-37fc-4eee-a724-472609801fee,Mass Loss,
340,c2ebbff3-2f5a-46c3-8f06-510dbac83d48,Weighed Mass,
341,c2ebbff3-2f5a-46c3-8f06-510dbac83d48,Mass Loss,
342,c6708c15-7d43-4cb2-848c-0e329ea341fa,Weighed Mass,
343,c6708c15-7d43-4cb2-848c-0e329ea341fa,Mass Loss,
344,c88efbda-4109-4c74-aa27-828190b33795,Weighed Mass,
345,c88efbda-4109-4c74-aa27-828190b33795,Mass Loss,
346,c9bdc953-e954-4432-b726-ed995989acf0,Weighed Mass,
347,c9bdc953-e954-4432-b726-ed995989acf0,Mass Loss,
348,c9d7fcc1-4f54-411e-863c-fbc46d277540,Weighed Mass,
349,c9d7fcc1-4f54-411e-863c-fbc46d277540,Mass Loss,
350,ca321622-e9bc-4c24-aff1-636b8e2dac91,Weighed Mass,
351,ca321622-e9bc-4c24-aff1-636b8e2dac91,Mass Loss,
352,cb6ae495-c630-4a11-b687-2a1b74ec1d06,Weighed Mass,
353,cb6ae495-c630-4a11-b687-2a1b74ec1d06,Mass Loss,
354,cc32b252-7f01-4eee-9bdb-a8bf04e67271,Phase,
355,cc32b252-7f01-4eee-9bdb-a8bf04e67271,Lattice Parameter,
356,cc32b252-7f01-4eee-9bdb-a8bf04e67271,"Hardness, HV",
357,cc32b252-7f01-4eee-9bdb-a8bf04e67271,"SD, HV",
